text,language,language_code,source,label,model,temperature,generation_task,domain,length_style,seed_id,word_count,afro_pred,afro_proba
Amazi nemoto ayahlukana ngokuthi siqhagamshelwe kwiikhaleezi zethu.,xhosa,xho,groq,1,llama-3.3-70b-versatile,0.9,technology,water and electricity,one short sentence,838.0,7.0,0,0.022689266
Ngwana o tla kgona go ithuta go nyanya ka pela gomme se se tla go thuša gore o dire matutu a mantšhi.,sepedi,nso,vukuzenzele,0,,,,,,,,1,0.9955402
Maphodisa ba ka se atlege ka ntle le tšhomišano ya setšhaba.,sepedi,nso,vukuzenzele,0,,,,,,,,1,0.9552203
Ndiye ndizixelela qho kusasa ukuba ndibalisa ibali lam; kunye nendlela endikwazi ngayo ukutya kwesiZulu.,xhosa,xho,vukuzenzele,0,,,,,,,,1,0.73107845
"Sikhalela ukuthi uhulumeni uzokwazi ukwenza konke okufanele ukuze amalimi athuthukise, njengoba imali yomphakathi ingasetshenziswa ukuthuthukisa izinkinga zikamphakathi.",zulu,zul,groq,1,llama-3.3-70b-versatile,1.1,shopping,public services,a short paragraph,1106.0,17.0,0,0.07305879
"Sikhona kwi-ofisi ya masipala, kumele sithole amazwi anguMengameli ngokuhusiana nezinqubomgomo zikaRhulumente, izinqubomgomo ezizokuthuthukisa ukuthuthukiswa kwabantu baseNingizimu Afrika, kuzobhebhetheka ekuthuthweni kwemisebenzi yezwe, kanye nezindlela zokuthuthukisa ubutho bamaZulu naseNingizimu Afrika yonke.",zulu,zul,groq,1,llama-3.3-70b-versatile,0.9,government_notice,government policies,an informal paragraph,1710.0,29.0,0,0.012028334
"Ngonyaka ophelileyo, i-SARS iqale ukubamba uphicotho-zincwadi lwendlela yokuphila olungama-25 oluxabisa ngaphezulu kwezigidi zeerandi ezingama-450 ukusombulula ukunga ngqinelani phakathi kwengeniso echaziweyo kunye nendlela yokuphila yomntu, olu phicotho-zincwadi lubandakanyangwa kwiinkoliso zokufundisa ezingaphaya kwa-25 000. Lendlela yokuphila iqheliswe kwiingxoxo eziliqhayo phakathi kwezifundo zomntwana, abantu abadala, ezifundisweni, abaphathi bezifundo, abafundi, abaxhasi, abantu abahluphekayo, kunye nabahleli beziqonga. I-SARS iqinisekile ukuthi kule ndlela yokuphila izakulisekisa abantu ngokucopheleleyo, ikwaliwa ph",xhosa,xho,groq,1,llama-3.3-70b-versatile,1.1,health_advice,education and schools,a longer paragraph,892.0,63.0,0,0.0027457802
Boetapele le bašomi ba SARS ba tlo lebogišwa ka mošomo wa bona.,sepedi,nso,vukuzenzele,0,,,,,,,,1,0.9438351
Ke le lakaletša tše botse ka moka mo ngwageng wo ge o ntše o tšwelapele.,sepedi,nso,vukuzenzele,0,,,,,,,,1,0.954834
Moemedi wa Setheo sa Tlhabollo ya Di-kgwebopotlana oThusa batho ba ba lwelwa ke koloto.,sepedi,nso,groq,1,llama-3.3-70b-versatile,1.1,summarize,clinic visits,one short sentence,2872.0,14.0,0,0.005452131
Amabhizinisi yiwona akha amathuba omsebenzi.,zulu,zul,vukuzenzele,0,,,,,,,,1,0.9900317
"Kweli phulo lilijolise ekuthatheni indawo yezikolo ezibeka esichengeni ukhuseleko lwabafundi kunye nabasebenzi, ngenxa yokunqongophala kweziseko zophuhliso ezifanelekileyo, amanzi, ucoceko kunye nombane, kule maphandle ezibhekene nabafundi nobasebenzi, kufuneka kukhuseleke kwabo kwiindawo zokufunda nezosebenzi.",xhosa,xho,groq,1,llama-3.3-70b-versatile,1.1,shopping,public services,a formal paragraph,864.0,32.0,0,0.041271403
"Impilo yethu ihlala ibe njengemvula, ikhanyisa kwingingqi kodwa ikhanyisa njalo.",xhosa,xho,groq,1,llama-3.3-70b-versatile,1.1,relationships,weather and nature,one short sentence,199.0,10.0,0,0.101199314
"Ho boloka hlobo ya lerato la mmele mo thekgnong ya mmele, o swanetše go ja dinamelo tše dibotse tša firi le tša mmala.",sepedi,nso,groq,1,llama-3.3-70b-versatile,0.9,health_advice,health and medicine,one short sentence,2159.0,23.0,0,0.0046248315
Bašomi ba bantši ba lahlegetšwe ke letseno ka ge diiri tša bona tša go šoma di ile tša swanelwa ke go fokotšwa mola ba bangwe ba bantši ba ile ba swanelwa ke go fokotšwa mešomong.,sepedi,nso,vukuzenzele,0,,,,,,,,1,0.8368854
"Kuzalwa komthonyama wokufunda ngokweluleka kanye nezinyathelo zokuvikela ukudla kwezilwane ezinomlhaza, izwe lithembele kuhlelo lokulingana nezocansi kanye nezinyathelo zokulwisana nezilwane zokudla, ngokomthonyama wokufunda kwesinye isikhathi kanye nezocansi zokuziphatha komthonyama wezempilo.",zulu,zul,groq,1,llama-3.3-70b-versatile,1.1,government_notice,health and medicine,a formal paragraph,1734.0,29.0,0,0.008477656
